 (HEAD, origin/rename-prefix) : 4b15a33fe4b717cd38ef4e6e52dc02122c7d97ca
Timestamp: 2016-07-24 11:20:06 +0530
Epoch Timestamp: 1469339406
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.9190, True
Tests/Unit/pos/zipW1.hs, 0.8623, True
Tests/Unit/pos/zipW.hs, 0.8176, True
Tests/Unit/pos/zipSO.hs, 0.8161, True
Tests/Unit/pos/zipper000.hs, 0.8586, True
Tests/Unit/pos/zipper0.hs, 0.9825, True
Tests/Unit/pos/zipper.hs, 1.5918, True
Tests/Unit/pos/wrap1.hs, 1.0347, True
Tests/Unit/pos/wrap0.hs, 0.8555, True
Tests/Unit/pos/Words1.hs, 0.8187, True
Tests/Unit/pos/Words.hs, 0.7309, True
Tests/Unit/pos/WBL0.hs, 1.7832, True
Tests/Unit/pos/WBL.hs, 1.6985, True
Tests/Unit/pos/vector2.hs, 1.4857, True
Tests/Unit/pos/vector1b.hs, 1.2488, True
Tests/Unit/pos/vector1a.hs, 1.1984, True
Tests/Unit/pos/vector1.hs, 1.1297, True
Tests/Unit/pos/vector00.hs, 0.9125, True
Tests/Unit/pos/vector0.hs, 1.1794, True
Tests/Unit/pos/vecloop.hs, 0.9643, True
Tests/Unit/pos/Variance.hs, 0.8337, True
Tests/Unit/pos/unusedtyvars.hs, 0.7341, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.8428, True
Tests/Unit/pos/UnboxedTuples.hs, 0.8609, True
Tests/Unit/pos/tyvar.hs, 0.8373, True
Tests/Unit/pos/TypeFamilies.hs, 1.0294, True
Tests/Unit/pos/TypeAlias.hs, 0.9185, True
Tests/Unit/pos/tyfam0.hs, 0.9579, True
Tests/Unit/pos/tyExpr.hs, 0.8249, True
Tests/Unit/pos/tyclass0.hs, 0.9184, True
Tests/Unit/pos/tupparse.hs, 1.0530, True
Tests/Unit/pos/tup0.hs, 0.9501, True
Tests/Unit/pos/transTAG.hs, 1.8100, True
Tests/Unit/pos/transpose.hs, 1.4611, True
Tests/Unit/pos/trans.hs, 1.2210, True
Tests/Unit/pos/ToyMVar.hs, 1.2328, True
Tests/Unit/pos/TopLevel.hs, 0.9711, True
Tests/Unit/pos/top0.hs, 0.9913, True
Tests/Unit/pos/TokenType.hs, 0.9369, True
Tests/Unit/pos/testRec.hs, 1.0075, True
Tests/Unit/pos/Test761.hs, 0.9723, True
Tests/Unit/pos/test2.hs, 1.0857, True
Tests/Unit/pos/test1.hs, 1.0522, True
Tests/Unit/pos/test00c.hs, 1.0880, True
Tests/Unit/pos/test00b.hs, 1.0488, True
Tests/Unit/pos/test000.hs, 0.9616, True
Tests/Unit/pos/test00.old.hs, 0.9756, True
Tests/Unit/pos/test00.hs, 1.0113, True
Tests/Unit/pos/test00-int.hs, 0.9907, True
Tests/Unit/pos/test0.hs, 0.9008, True
Tests/Unit/pos/TerminationNum0.hs, 0.7642, True
Tests/Unit/pos/TerminationNum.hs, 0.7590, True
Tests/Unit/pos/Termination.lhs, 1.3330, True
Tests/Unit/pos/term0.hs, 0.9385, True
Tests/Unit/pos/Term.hs, 0.8147, True
Tests/Unit/pos/TemplateHaskellImp.hs, 1.0984, True
Tests/Unit/pos/TemplateHaskell.hs, 0.8982, True
Tests/Unit/pos/take.hs, 1.1543, True
Tests/Unit/pos/tagBinder.hs, 0.7508, True
Tests/Unit/pos/T716.hs, 0.9328, True
Tests/Unit/pos/T675.hs, 0.9255, True
Tests/Unit/pos/T598.hs, 0.9123, True
Tests/Unit/pos/T595a.hs, 0.7633, True
Tests/Unit/pos/T595.hs, 0.7968, True
Tests/Unit/pos/T531.hs, 0.8030, True
Tests/Unit/pos/Sum.hs, 0.8979, True
Tests/Unit/pos/StructRec.hs, 0.7820, True
Tests/Unit/pos/Strings.hs, 0.7820, True
Tests/Unit/pos/StringLit.hs, 0.7387, True
Tests/Unit/pos/string00.hs, 0.8731, True
Tests/Unit/pos/StrictPair1.hs, 1.0179, True
Tests/Unit/pos/StrictPair0.hs, 0.8380, True
Tests/Unit/pos/StreamInvariants.hs, 0.7505, True
Tests/Unit/pos/stateInvarint.hs, 1.0096, True
Tests/Unit/pos/StateF00.hs, 0.8451, True
Tests/Unit/pos/StateConstraints00.hs, 0.7956, True
Tests/Unit/pos/StateConstraints0.hs, 8.9448, True
Tests/Unit/pos/StateConstraints.hs, 5.0527, True
Tests/Unit/pos/State1.hs, 0.7944, True
Tests/Unit/pos/state00.hs, 0.8128, True
Tests/Unit/pos/State.hs, 0.8411, True
Tests/Unit/pos/stacks0.hs, 0.8270, True
Tests/Unit/pos/StackClass.hs, 0.8019, True
Tests/Unit/pos/spec0.hs, 0.8231, True
Tests/Unit/pos/Solver.hs, 1.2989, True
Tests/Unit/pos/SimplifyTup00.hs, 0.8036, True
Tests/Unit/pos/SimplerNotation.hs, 0.7319, True
Tests/Unit/pos/selfList.hs, 0.8682, True
Tests/Unit/pos/scanr.hs, 0.8667, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.7855, True
Tests/Unit/pos/risers.hs, 0.8425, True
Tests/Unit/pos/ResolvePred.hs, 0.7853, True
Tests/Unit/pos/ResolveB.hs, 0.7320, True
Tests/Unit/pos/ResolveA.hs, 0.8081, True
Tests/Unit/pos/Resolve.hs, 0.7814, True
Tests/Unit/pos/repeatHigherOrder.hs, 1.1869, True
Tests/Unit/pos/Repeat.hs, 0.8477, True
Tests/Unit/pos/RelativeComplete.hs, 0.7928, True
Tests/Unit/pos/recursion0.hs, 0.7451, True
Tests/Unit/pos/RecSelector.hs, 0.7509, True
Tests/Unit/pos/RecQSort0.hs, 0.9227, True
Tests/Unit/pos/RecQSort.hs, 0.9230, True
Tests/Unit/pos/RecordSelectorError.hs, 0.7609, True
Tests/Unit/pos/record1.hs, 0.7553, True
Tests/Unit/pos/record0.hs, 0.8494, True
Tests/Unit/pos/rec_annot_go.hs, 0.9530, True
Tests/Unit/pos/RealProps1.hs, 0.8402, True
Tests/Unit/pos/RealProps.hs, 0.8548, True
Tests/Unit/pos/RBTree.hs, 10.2172, True
Tests/Unit/pos/RBTree-ord.hs, 6.0568, True
Tests/Unit/pos/RBTree-height.hs, 2.7394, True
Tests/Unit/pos/RBTree-color.hs, 3.2901, True
Tests/Unit/pos/RBTree-col-height.hs, 4.3523, True
Tests/Unit/pos/rangeAdt.hs, 1.8556, True
Tests/Unit/pos/range1.hs, 1.1660, True
Tests/Unit/pos/range.hs, 1.3080, True
Tests/Unit/pos/qualTest.hs, 0.9280, True
Tests/Unit/pos/QQTySyn.hs, 3.5128, True
Tests/Unit/pos/QQTySigTyVars.hs, 3.7493, True
Tests/Unit/pos/QQTySig.hs, 3.1713, True
Tests/Unit/pos/propmeasure1.hs, 0.7647, True
Tests/Unit/pos/propmeasure.hs, 0.9167, True
Tests/Unit/pos/Propability.hs, 0.8808, True
Tests/Unit/pos/PromotedDataCons.hs, 0.7952, True
Tests/Unit/pos/profcrasher.hs, 0.8457, True
Tests/Unit/pos/Product.hs, 1.1172, True
Tests/Unit/pos/primInt0.hs, 0.9036, True
Tests/Unit/pos/pred.hs, 0.7975, True
Tests/Unit/pos/pragma0.hs, 0.7398, True
Tests/Unit/pos/poslist_dc.hs, 0.8732, True
Tests/Unit/pos/poslist.hs, 0.9430, True
Tests/Unit/pos/polyqual.hs, 1.0787, True
Tests/Unit/pos/polyfun.hs, 0.8120, True
Tests/Unit/pos/poly4.hs, 0.7888, True
Tests/Unit/pos/poly3a.hs, 0.7521, True
Tests/Unit/pos/poly3.hs, 0.7615, True
Tests/Unit/pos/poly2.hs, 0.8388, True
Tests/Unit/pos/poly2-degenerate.hs, 0.8078, True
Tests/Unit/pos/poly1.hs, 0.8441, True
Tests/Unit/pos/poly0.hs, 0.8726, True
Tests/Unit/pos/PointDist.hs, 0.8352, True
Tests/Unit/pos/PlugHoles.hs, 0.7054, True
Tests/Unit/pos/PersistentVector.hs, 0.8831, True
Tests/Unit/pos/Permutation.hs, 1.4638, True
Tests/Unit/pos/partialmeasure.hs, 0.7732, True
Tests/Unit/pos/partial-tycon.hs, 0.7226, True
Tests/Unit/pos/pargs1.hs, 0.7523, True
Tests/Unit/pos/pargs.hs, 0.7351, True
Tests/Unit/pos/PairMeasure0.hs, 0.7616, True
Tests/Unit/pos/PairMeasure.hs, 0.7693, True
Tests/Unit/pos/pair00.hs, 1.1942, True
Tests/Unit/pos/pair0.hs, 1.3937, True
Tests/Unit/pos/pair.hs, 1.4483, True
Tests/Unit/pos/Overwrite.hs, 0.7891, True
Tests/Unit/pos/OrdList.hs, 15.2582, True
Tests/Unit/pos/nullterm.hs, 0.9903, True
Tests/Unit/pos/NoExhaustiveGuardsError.hs, 0.7461, True
Tests/Unit/pos/NoCaseExpand.hs, 1.1324, True
Tests/Unit/pos/niki1.hs, 0.8483, True
Tests/Unit/pos/niki.hs, 0.7899, True
Tests/Unit/pos/nats.hs, 0.8209, True
Tests/Unit/pos/MutualRec.hs, 2.1247, True
Tests/Unit/pos/mutrec.hs, 0.7410, True
Tests/Unit/pos/MultipleInvariants.hs, 0.7548, True
Tests/Unit/pos/multi-pred-app-00.hs, 0.7185, True
Tests/Unit/pos/Moo.hs, 0.8581, True
Tests/Unit/pos/monad7.hs, 0.9891, True
Tests/Unit/pos/monad6.hs, 0.8300, True
Tests/Unit/pos/monad5.hs, 1.0301, True
Tests/Unit/pos/monad2.hs, 0.7630, True
Tests/Unit/pos/monad1.hs, 0.8170, True
Tests/Unit/pos/modTest.hs, 0.8208, True
Tests/Unit/pos/Mod2.hs, 0.7520, True
Tests/Unit/pos/Mod1.hs, 0.7660, True
Tests/Unit/pos/MergeSort.hs, 1.2996, True
Tests/Unit/pos/Merge1.hs, 0.8284, True
Tests/Unit/pos/MeasureSets.hs, 0.8325, True
Tests/Unit/pos/Measures1.hs, 0.7621, True
Tests/Unit/pos/Measures.hs, 0.7596, True
Tests/Unit/pos/MeasureDups.hs, 0.8386, True
Tests/Unit/pos/MeasureContains.hs, 0.8497, True
Tests/Unit/pos/meas9.hs, 0.8541, True
Tests/Unit/pos/meas8.hs, 0.8227, True
Tests/Unit/pos/meas7.hs, 0.9860, True
Tests/Unit/pos/meas6.hs, 0.9748, True
Tests/Unit/pos/meas5.hs, 1.5982, True
Tests/Unit/pos/meas4.hs, 0.9584, True
Tests/Unit/pos/meas3.hs, 1.0809, True
Tests/Unit/pos/meas2.hs, 0.8235, True
Tests/Unit/pos/meas11.hs, 0.9068, True
Tests/Unit/pos/meas10.hs, 0.9483, True
Tests/Unit/pos/meas1.hs, 0.8252, True
Tests/Unit/pos/meas0a.hs, 0.8357, True
Tests/Unit/pos/meas00a.hs, 0.7766, True
Tests/Unit/pos/meas00.hs, 0.8212, True
Tests/Unit/pos/meas0.hs, 0.9472, True
Tests/Unit/pos/maybe4.hs, 0.7907, True
Tests/Unit/pos/maybe3.hs, 0.7311, True
Tests/Unit/pos/maybe2.hs, 1.5264, True
Tests/Unit/pos/maybe1.hs, 0.9470, True
Tests/Unit/pos/maybe000.hs, 0.8244, True
Tests/Unit/pos/maybe00.hs, 0.7396, True
Tests/Unit/pos/maybe0.hs, 0.8232, True
Tests/Unit/pos/maybe.hs, 1.2122, True
Tests/Unit/pos/mapTvCrash.hs, 0.9478, True
Tests/Unit/pos/maps1.hs, 0.8042, True
Tests/Unit/pos/maps.hs, 1.0191, True
Tests/Unit/pos/mapreduce.hs, 2.5068, True
Tests/Unit/pos/mapreduce-bare.hs, 3.7120, True
Tests/Unit/pos/Map2.hs, 10.3127, True
Tests/Unit/pos/Map0.hs, 10.9111, True
Tests/Unit/pos/Map.hs, 9.5047, True
Tests/Unit/pos/malformed0.hs, 1.0635, True
Tests/Unit/pos/Loo.hs, 0.7424, True
Tests/Unit/pos/LogicCurry1.hs, 0.7384, True
Tests/Unit/pos/LocalTermExpr.hs, 0.8068, True
Tests/Unit/pos/LocalSpecImp.hs, 0.8466, True
Tests/Unit/pos/LocalSpec0.hs, 0.7432, True
Tests/Unit/pos/LocalSpec.hs, 0.8821, True
Tests/Unit/pos/LocalLazy.hs, 0.8742, True
Tests/Unit/pos/LocalHole.hs, 1.1500, True
Tests/Unit/pos/lit00.hs, 1.0745, True
Tests/Unit/pos/lit.hs, 0.9839, True
Tests/Unit/pos/ListSort.hs, 2.1879, True
Tests/Unit/pos/listSetDemo.hs, 0.9388, True
Tests/Unit/pos/listSet.hs, 0.9269, True
Tests/Unit/pos/ListReverse-LType.hs, 0.8269, True
Tests/Unit/pos/ListRange.hs, 0.9017, True
Tests/Unit/pos/ListRange-LType.hs, 0.9170, True
Tests/Unit/pos/listqual.hs, 0.8261, True
Tests/Unit/pos/ListQSort.hs, 1.5654, True
Tests/Unit/pos/ListQSort-LType.hs, 1.3970, True
Tests/Unit/pos/ListMSort.hs, 1.3495, True
Tests/Unit/pos/ListMSort-LType.hs, 2.2742, True
Tests/Unit/pos/ListLen.hs, 1.3467, True
Tests/Unit/pos/ListLen-LType.hs, 1.2154, True
Tests/Unit/pos/ListKeys.hs, 0.7746, True
Tests/Unit/pos/ListISort.hs, 0.8713, True
Tests/Unit/pos/ListISort-LType.hs, 1.2157, True
Tests/Unit/pos/ListElem.hs, 0.7914, True
Tests/Unit/pos/ListConcat.hs, 0.8573, True
Tests/Unit/pos/listAnf.hs, 0.8891, True
Tests/Unit/pos/LiquidClass.hs, 0.7323, True
Tests/Unit/pos/LiquidArray.hs, 0.7723, True
Tests/Unit/pos/lex.hs, 0.7495, True
Tests/Unit/pos/lets.hs, 0.8729, True
Tests/Unit/pos/LazyWhere1.hs, 0.8151, True
Tests/Unit/pos/LazyWhere.hs, 0.7817, True
Tests/Unit/pos/LambdaEvalTiny.hs, 1.1115, True
Tests/Unit/pos/LambdaEvalSuperTiny.hs, 1.0566, True
Tests/Unit/pos/LambdaEvalMini.hs, 2.3141, True
Tests/Unit/pos/LambdaEval.hs, 12.9263, True
Tests/Unit/pos/LambdaDeBruijn.hs, 1.3947, True
Tests/Unit/pos/kmpVec.hs, 1.7745, True
Tests/Unit/pos/kmpIO.hs, 1.0194, True
Tests/Unit/pos/kmp.hs, 2.2578, True
Tests/Unit/pos/Keys.hs, 0.8476, True
Tests/Unit/pos/jeff.hs, 3.9631, True
Tests/Unit/pos/ite1.hs, 0.9515, True
Tests/Unit/pos/ite.hs, 0.9287, True
Tests/Unit/pos/invlhs.hs, 0.7475, True
Tests/Unit/pos/Invariants.hs, 0.8572, True
Tests/Unit/pos/inline1.hs, 0.7274, True
Tests/Unit/pos/inline.hs, 0.8077, True
Tests/Unit/pos/initarray.hs, 1.1999, True
Tests/Unit/pos/infix.hs, 0.7912, True
Tests/Unit/pos/Infinity.hs, 0.8223, True
Tests/Unit/pos/implies.hs, 0.7745, True
Tests/Unit/pos/imp0.hs, 1.0345, True
Tests/Unit/pos/idNat0.hs, 0.8558, True
Tests/Unit/pos/idNat.hs, 0.8402, True
Tests/Unit/pos/IcfpDemo.hs, 0.9850, True
Tests/Unit/pos/Holes.hs, 0.8328, True
Tests/Unit/pos/hole-fun.hs, 0.7966, True
Tests/Unit/pos/hole-app.hs, 0.7828, True
Tests/Unit/pos/HigherOrderRecFun.hs, 0.7688, True
Tests/Unit/pos/hello.hs, 0.7748, True
Tests/Unit/pos/HedgeUnion.hs, 0.9287, True
Tests/Unit/pos/HaskellMeasure.hs, 0.8205, True
Tests/Unit/pos/HasElem.hs, 0.8088, True
Tests/Unit/pos/grty3.hs, 0.7905, True
Tests/Unit/pos/grty2.hs, 0.7926, True
Tests/Unit/pos/grty1.hs, 0.7908, True
Tests/Unit/pos/grty0.hs, 0.7533, True
Tests/Unit/pos/Graph.hs, 1.0618, True
Tests/Unit/pos/Gradual.hs, 0.0000, True
Tests/Unit/pos/GoodHMeas.hs, 0.7853, True
Tests/Unit/pos/Goo.hs, 0.7313, True
Tests/Unit/pos/go_ugly_type.hs, 0.8586, True
Tests/Unit/pos/go.hs, 0.8415, True
Tests/Unit/pos/gimme.hs, 0.8081, True
Tests/Unit/pos/GhcSort3.T.hs, 1.4994, True
Tests/Unit/pos/GhcSort3.hs, 3.5069, True
Tests/Unit/pos/GhcSort2.hs, 1.4318, True
Tests/Unit/pos/GhcSort1.hs, 2.7559, True
Tests/Unit/pos/GhcListSort.hs, 6.4596, True
Tests/Unit/pos/GeneralizedTermination.hs, 0.8749, True
Tests/Unit/pos/GCD.hs, 1.0695, True
Tests/Unit/pos/GADTs.hs, 0.8525, True
Tests/Unit/pos/gadtEval.hs, 1.5087, True
Tests/Unit/pos/FractionalInstance.hs, 1.9972, True
Tests/Unit/pos/Fractional.hs, 0.7560, True
Tests/Unit/pos/forloop.hs, 0.9914, True
Tests/Unit/pos/for.hs, 0.9978, True
Tests/Unit/pos/Foo.hs, 0.7296, True
Tests/Unit/pos/foldr.hs, 0.7894, True
Tests/Unit/pos/foldN.hs, 0.7562, True
Tests/Unit/pos/Foldl.hs, 6.4953, True
Tests/Unit/pos/filterAbs.hs, 0.8436, True
Tests/Unit/pos/FFI.hs, 0.8189, True
Tests/Unit/pos/failName.hs, 0.7206, True
Tests/Unit/pos/extype.hs, 0.7607, True
Tests/Unit/pos/exp0.hs, 0.8114, True
Tests/Unit/pos/ExactFunApp.hs, 0.8408, True
Tests/Unit/pos/ex1.hs, 0.9230, True
Tests/Unit/pos/ex01.hs, 0.7471, True
Tests/Unit/pos/ex0.hs, 0.8317, True
Tests/Unit/pos/Even0.hs, 0.7732, True
Tests/Unit/pos/Even.hs, 0.7290, True
Tests/Unit/pos/Eval.hs, 0.9144, True
Tests/Unit/pos/eqelems.hs, 0.7997, True
Tests/Unit/pos/elim01.hs, 0.8581, True
Tests/Unit/pos/elim00.hs, 0.7543, True
Tests/Unit/pos/elim-ex-map-3.hs, 3.2298, True
Tests/Unit/pos/elim-ex-map-2.hs, 3.0895, True
Tests/Unit/pos/elim-ex-map-1.hs, 3.0921, True
Tests/Unit/pos/elim-ex-list.hs, 3.0239, True
Tests/Unit/pos/elim-ex-let.hs, 3.0092, True
Tests/Unit/pos/elim-ex-compose.hs, 1.3359, True
Tests/Unit/pos/elems.hs, 0.8647, True
Tests/Unit/pos/elements.hs, 1.1764, True
Tests/Unit/pos/duplicate-bind.hs, 0.7655, True
Tests/Unit/pos/dropwhile.hs, 1.0054, True
Tests/Unit/pos/div000.hs, 0.7878, True
Tests/Unit/pos/deptupW.hs, 0.9880, True
Tests/Unit/pos/deptup3.hs, 0.9838, True
Tests/Unit/pos/deptup1.hs, 0.9471, True
Tests/Unit/pos/deptup0.hs, 0.8791, True
Tests/Unit/pos/deptup.hs, 1.0486, True
Tests/Unit/pos/deppair1.hs, 0.8458, True
Tests/Unit/pos/deppair0.hs, 0.9041, True
Tests/Unit/pos/DependentTypes.hs, 0.8081, True
Tests/Unit/pos/deepmeas0.hs, 0.8860, True
Tests/Unit/pos/DB00.hs, 0.7697, True
Tests/Unit/pos/DataKinds.hs, 0.7407, True
Tests/Unit/pos/dataConQuals.hs, 0.7795, True
Tests/Unit/pos/datacon1.hs, 0.7411, True
Tests/Unit/pos/datacon0.hs, 0.9003, True
Tests/Unit/pos/datacon-inv.hs, 0.8722, True
Tests/Unit/pos/DataBase.hs, 0.9178, True
Tests/Unit/pos/data2.hs, 0.8718, True
Tests/Unit/pos/cut00.hs, 0.8041, True
Tests/Unit/pos/csgordon_issue_296.hs, 0.7232, True
Tests/Unit/pos/CountMonad.hs, 0.9945, True
Tests/Unit/pos/coretologic.hs, 0.7929, True
Tests/Unit/pos/contra0.hs, 0.9690, True
Tests/Unit/pos/ConstraintsAppend.hs, 1.3528, True
Tests/Unit/pos/Constraints.hs, 0.8289, True
Tests/Unit/pos/comprehensionTerm.hs, 1.2056, True
Tests/Unit/pos/CompareConstraints.hs, 1.0616, True
Tests/Unit/pos/compare2.hs, 0.8124, True
Tests/Unit/pos/compare1.hs, 0.8446, True
Tests/Unit/pos/compare.hs, 0.8196, True
Tests/Unit/pos/CommentedOut.hs, 0.7376, True
Tests/Unit/pos/Coercion.hs, 0.7570, True
Tests/Unit/pos/cmptag0.hs, 0.8119, True
Tests/Unit/pos/ClojurVector.hs, 0.9823, True
Tests/Unit/pos/ClassReg.hs, 0.7347, True
Tests/Unit/pos/Class2.hs, 0.9815, True
Tests/Unit/pos/Class.hs, 1.0441, True
Tests/Unit/pos/Chunks.hs, 0.8843, True
Tests/Unit/pos/Cat.hs, 0.7632, True
Tests/Unit/pos/CasesToLogic.hs, 0.7742, True
Tests/Unit/pos/case-lambda-join.hs, 0.9275, True
Tests/Unit/pos/BST000.hs, 1.2679, True
Tests/Unit/pos/BST.hs, 4.9897, True
Tests/Unit/pos/bounds1.hs, 0.7628, True
Tests/Unit/pos/Books.hs, 0.8377, True
Tests/Unit/pos/BinarySearch.hs, 0.9221, True
Tests/Unit/pos/bar.hs, 0.8837, True
Tests/Unit/pos/bangPatterns.hs, 0.8579, True
Tests/Unit/pos/AVLRJ.hs, 2.1951, True
Tests/Unit/pos/AVL.hs, 1.9611, True
Tests/Unit/pos/Avg.hs, 0.7856, True
Tests/Unit/pos/AutoTerm1.hs, 0.7668, True
Tests/Unit/pos/AutoTerm.hs, 0.8312, True
Tests/Unit/pos/AutoSize.hs, 0.8977, True
Tests/Unit/pos/AssumedRecursive.hs, 0.7665, True
Tests/Unit/pos/Assume.hs, 0.9177, True
Tests/Unit/pos/anish1.hs, 0.9653, True
Tests/Unit/pos/anftest.hs, 0.9392, True
Tests/Unit/pos/anfbug.hs, 1.0550, True
Tests/Unit/pos/AmortizedQueue.hs, 1.0340, True
Tests/Unit/pos/alphaconvert-Set.hs, 1.1680, True
Tests/Unit/pos/alphaconvert-List.hs, 1.3173, True
Tests/Unit/pos/alias01.hs, 0.9186, True
Tests/Unit/pos/alias00.hs, 0.8794, True
Tests/Unit/pos/adt0.hs, 0.8074, True
Tests/Unit/pos/Ackermann.hs, 0.8868, True
Tests/Unit/pos/absref-crash0.hs, 0.8962, True
Tests/Unit/pos/absref-crash.hs, 0.7322, True
Tests/Unit/pos/Abs.hs, 0.8067, True
Tests/Unit/neg/wrap1.hs, 1.0453, True
Tests/Unit/neg/wrap0.hs, 0.8457, True
Tests/Unit/neg/vector2.hs, 1.5522, True
Tests/Unit/neg/vector1a.hs, 1.0829, True
Tests/Unit/neg/vector0a.hs, 0.8626, True
Tests/Unit/neg/vector00.hs, 0.8672, True
Tests/Unit/neg/vector0.hs, 0.9917, True
Tests/Unit/neg/Variance1.hs, 0.7633, True
Tests/Unit/neg/Variance.hs, 0.7953, True
Tests/Unit/neg/tyclass0-unsafe.hs, 0.7419, True
Tests/Unit/neg/truespec.hs, 0.8017, True
Tests/Unit/neg/trans.hs, 1.7290, True
Tests/Unit/neg/TopLevel.hs, 0.8534, True
Tests/Unit/neg/testRec.hs, 0.7982, True
Tests/Unit/neg/test2.hs, 0.8642, True
Tests/Unit/neg/test1.hs, 0.8285, True
